Air Force,Steve Russ,John Rudzinski,John Rudzinski
Akron,Chuck Amato,Todd Stroud,Matt Feeney
Alabama,Jeremy Pruitt,Pete Golding,Pete Golding
Appalachian State,Nate Woody,Bryan Brown,Ted Roof
Arizona,Marcel Yates,Marcel Yates,Chuck Cecil
Arizona State,Phil Bennett,Danny Gonzales,Danny Gonzales
Arkansas,Paul Rhoads,John Chavis,John Chavis
Arkansas State,Joe Cauthen,Joe Cauthen,David Duggan
Army,Jay Bateman,Jay Bateman,John Loose
Auburn,Kevin Steele,Kevin Steele,Kevin Steele
Ball State,David Elson,David Elson,David Elson
Baylor,Phil Snow,Phil Snow,Phil Snow
Boise State,Andy Avalos,Andy Avalos,Jeff Schmedding
Boston College,Jim Reid,Jim Reid,Bill Sheridan
Bowling Green,Carl Pelini,Carl Pelini,Brian VanGorder
Buffalo,Brian Borland,Brian Borland,Brian Borland
BYU,Ilaisa Tuiaki,Ilaisa Tuiaki,Ilaisa Tuiaki
California,Tim DeRuyter,Tim DeRuyter,Tim DeRuyter
Central Michigan,Greg Colby,Greg Colby,Robb Akey
Charlotte,Matt Wallerstedt,Glenn Spencer,Brandon Cooper
Cincinnati,Marcus Freeman,Marcus Freeman,Marcus Freeman
Clemson,Brent Venables,Brent Venables,Brent Venables
Coastal Carolina,Mickey Matthews,Marvin Sanders,Chad Staggs
Colorado,D.J. Eliot,D.J. Eliot,Tyson Summers
Colorado State,Marty English,John Jancek,John Jancek
Connecticut,Billy Crocker,Lou Spanos,Lous Spanos
Duke,Ben Albert,Ben Albert/Matt Guerrieri,Ben Albert/Matt Guerrieri
East Carolina,David Blackwell,Bob Trott,Bob Trott
Eastern Michigan,Neal Neathery,Neal Neathery,Neal Neathery
Florida,Randy Shannon,Todd Grantham,Todd Grantham
Florida Atlantic,Chris Kiffin/Corey Batoon,Tony Pecoraro,Glenn Spencer
Florida International,Brent Guy,Brent Guy,Jeff Copp/Jerod Kruse
Florida State,Charles Kelly,Harlon Barnett,Harlon Barnett
Fresno State,Orlondo Steinauer,Bert Watts,Bert Watts
Georgia,Mel Tucker,Dan Lanning,Dan Lanning
Georgia Southern,Lorenzo Costantini,Scot Sloan,Scot Sloan
Georgia State,Nate Fuqua,Nate Fuqua,Nate Fuqua
Georgia Tech,Ted Roof,Nate Woody,Andrew Thacker
Hawaii,Legi Suiaunoa,Corey Batoon,Victor Santa Cruz
Houston,Mark D'Onofrio,Mark D'Onofrio,Joe Cauthen
Illinois,Hardy Nickerson,Hardy Nickerson,Lovie Smith
Indiana,Mark Hagen,Mark Hagen,Kane Wommack
Iowa,Phil Parker,Phil Parker,Phil Parker
Iowa State,Jon Heacock,Jon Heacock,Jon Heacock
Kansas,Clint Bowen,Clint Bowen,D.J. Eliot
Kansas State,Blake Seiler,Blake Seiler,Scottie Hazelton
Kent State,Ben Needham,Tom Kaufman,Tom Kaufman
Kentucky,Matt House,Matt House,Brad White
Liberty,Robert Wimberly/Vantz Singletary,Robert Wimberly/Vantz Singletary,Scott Symons
Louisiana,Mike Lucas,Ron Roberts,Ron Roberts
Lousisiana Monroe,Mike Collins,Mike Collins,Mike Collins
Louisiana Tech,Blake Baker,Blake Baker,David Blackwell
Louisville,Peter Sirmon,Brian VanGorder,Bryan Brown
LSU,Dave Aranda,Dave Aranda,Dave Aranda
Marshall,Chuck Heater,Adam Fuller,Brad Lambert
Maryland,Andy Buh,Andy Buh,Jon Hoke
Memphis,Chris Ball,Chris Ball,Adam Fuller
Miami,Manny Diaz,Manny Diaz,Blake Baker
Miami (OH),Matt Pawlowski/John Hauser,Spence Nowinsky/John Hauser,Spence Nowinsky/John Hauser
Michigan,Don Brown,Don Brown,Don Brown
Michigan State,Mike Tressel,Mike Tressel,Mike Tressel
Middle Tennessee,Scott Shafer,Scott Shafer,Scott Shafer
Minnesota,Maurice Linguist,Joseph Rossi,Joseph Rossi
Mississippi State,Todd Grantham,Bob Shoop,Bob Shoop
Missouri,Barry Odom,Ryan Walters,Ryan Walters
Navy,Dale Pehrson,Dale Pehrson,Brian Newberry
NC State,Dave Huxtable,Dave Huxtable/Ted Roof,Dave Huxtable/Tony Gibson
Nebraska,Bob Diaco,Erik Chinander,Erik Chinander
Nevada,Jeff Casteel,Jeff Casteel,Jeff Casteel
New Mexico,Kevin Cosgrove,Perry Eliano,Perry Eliano
New Mexico State,Frank Spaziani,Frank Spaziani,Frank Spaziani
North Carolina,John Papuchis,John Papuchis,Jay Bateman/Tommy Thigpen
Northern Illinois,Kevin Kane,Jeff Knowles,Derrick Jackson
North Texas,Troy Reffett,Troy Reffett,Troy Reffett
Northwestern,Mike Hankwitz,Mike Hankwitz,Mike Hankwitz
Notre Dame,Mike Elko,Clark Lea,Clark Lea
Ohio,Jim Burrow/Ron Collins,Jim Burrow/Ron Collins,Ron Collins
Ohio State,Greg Schiano,Greg Schiano,Greg Mattison
Oklahoma,Mike Stoops,Alex Grinch,Alex Grinch
Oklahoma State,Glen Spencer,Jim Knowles,Jim Knowles
Old Dominion,Rich Nagy,Rich Nagy,Blake Seiler
Ole Miss,Wesley McGriff,Wesley McGriff,Mike MacIntyre
Oregon,Jim Leavitt,Jim Leavitt,Andy Avalos
Oregon State,Kevin Clune,Tim Tibesar,Tim Tibesar
Penn State,Brent Pry,Brent Pry,Brent Pry
Pittsburgh,Josh Conklin,Randy Bates,Randy Bates
Purdue,Nick Holt/Anthony Poindexter,Nick Holt/Anthony Poindexter,Bob Diaco
Rice,Brian Stewart,Brian Smith,Brian Smith
Rutgers,Jay Niemann,Jay Niemann,Robb Smith
San Diego State,Zach Arnett,Zach Arnett,Zach Arnett
San Jose State,Derrick Odum,Derrick Odum,Derrick Odum
SMU,Van Malone,Kavin Kane,Kevin Kane
South Alabama,Greg Stewart,Greg Stewart,Greg Stewart
South Carolina,Travaris Robinson,Travaris Robinson,Travaris Robinson
Southern Mississippi,Tony Pecoraro,Tim Billings/Derek Nicholson,Tim Billings/Derek Nicholson
South Florida,Brian Jean-Mary,Brian Jean-Mary,Brian Jean-Mary
Stanford,Lance Anderson,Lance Anderson,Lance Anderson
Syracuse,Brian Ward,Brian Ward,Steve Stanard
TCU,Chad Glasgow,Chad Glasgow,Chad Glasgow
Temple,Taver Johnson,Andrew Thacker,Jeff Knowles
