Air Force,Mike Thiessen,Mike Thiessen,Mike Thiessen
Akron,A. J. Milwee,A. J. Milwee,Tommy Zagorski
Alabama,Brian Daboll,Mike Locksley,Steve Sarkinsian
Appalachian State,Frank Ponce/Shawn Clark,Frank Ponce/Shawn Clark,Tony Petersen
Arizona,Calvin Magee/Rod Smith,Noel Mazzone,Noel Mazzone
Arizona State,Billy Napier,Rob Likens,Rob Likens
Arkansas,Dan Enos,Joe Craddock,Joe Craddock
Arkansas State,Buster Faulkner,Buster Faulkner,Keith Heckendorf
Army,Brent Davis,Brent Davis,Brent Davis
Auburn,Chip Lindsey,Chip Lindsey,Chad Morris
Ball State,Joey Lynch,Joey Lynch,Joey Lynch
Baylor,Jeff Nixon,Jeff Nixon,Jeff Nixon
Boise State,Zak Hill,Zak Hill,Zak Hill
Boston College,Scot Loeffler,Scot Loeffler,Mike Bajakian
Bowling Green,Kevin Kilmer/Andy Padron,Terry Malone,Terry Malone
Buffalo,Andy Kotelnicki,Andy Kotelnicki,Andy Kotelnicki
BYU,Ty Detmer,Jeff Grimes,Jeff Grimes
California,Beau Baldwin,Beau Baldwin,Beau Baldwin
Central Michigan,Chris Ostrowsky,Chris Ostrowsky,Charlie Frye
Charlotte,Gred Adkins,Shane Montgomery,Alex Atkins
Cincinnati,Mike Denbrock,Mike Denbrock,Mike Denbrock
Clemson,Tony L. Elliott/Jeff Scott,Tony L. Elliott/Jeff Scott,Tony L. Elliott/Jeff Scott
Coastal Carolina,Jamey Chadwell,Jamey Chadwell,Newland Isaac/Willy Korn
Colorado,Darrin Chiaverini/Brian Lindgren,Klayton Adams/Darrin Chiaverini,Jay Johnson
Colorado State,Will Friend,Dave Johnson,Dave Johnson
Connecticut,John Dunn,John Dunn,Frank Giufre
Duke,Zac Roper,Zac Roper,Zac Roper
East Carolina,Tony Petersen,Donnie Kirkpatrick,Donnie Kirkpatrick
Eastern Michigan,Aaron Keen,Aaron Keen,Aaron Keen
Florida,Doug Nussmeir,Bill Gonzales/John Hevesy,Bill Gonzales/John Hevesy
Florida Atlantic,Kendal Briles,Charlie Weis Jr.,Charlie Weis Jr.
Florida International,Rich Skrosky,Rich Skrosky,Rich Skrosky
Florida State,Lawrence Dawsey/Randy Sanders,Walt Bell,Kendal Briles
Fresno State,Kalen DeBoer,Kalen DeBoer,Ryan Grubb
Georgia,Jim Chaney,Todd Monken,James Coley
Georgia Southern,Bryan Cook,Bob DeBesse,Bob DeBesse
Georgia State,Travis Trickett,Travis Trickett,Brad Glenn
Georgia Tech,Paul Johnson,Paul Johnson,Dave Patenaude
Hawaii,Brian Smith,Brian Smith,G.J. Kinne
Houston,Brian Johnson,Kendal Briles,Marquel Blackwell/Brandon Jones
Illinois,Garrick McGee,Rod Smith,Rod Smith
Indiana,Mike DeBord,Mike DeBord,Kalen DeBoer
Iowa,Brian Ferentz,Brian Ferentz,Brian Ferentz
Iowa State,Tom Manning,Tom Manning,Tom Manning
Kansas,Rob Likens,Doug Meacham,Brent Dearmon
Kansas State,Andre Coleman/Charlie Dickey,Andre Coleman,Courtney Messingham
Kent State,Don Treadwell,Andrew Sowder,Andrew Sowder
Kentucky,Eddie Gran,Eddie Gran,Eddie Gran
Liberty,Joe Dailey,Joe Dailey,Kent Austin/Maurice Harris
Louisiana,Will Hall,Rob Sale,Rob Sale
Lousisiana Monroe,Matt Kubik,Matt Kubik,Matt Kubik
Louisiana Tech,Todd Fitch,Todd Fitch,Joe Sloan
Louisville,Lonnie Galloway/Mike Summers,Lonnie Galloway/Mike Summers,Dwayne Ledford
LSU,Matt Canada,Steve Ensminger,Steve Ensminger
Marshall,Bill Legg,Tim Cramsey,Tim Cramsey
Maryland,Walt Bell,Matt Canada,Scottie Montgomery
Memphis,Darrell Dickey,Kenny Dillingham,Kevin Johns
Miami,Thomas Brown,Thomas Brown,Dan Enos
Miami (OH),Eric Koehler/George Barnett,Eric Koehler/George Barnett,Eric Koehler/George Barnett
Michigan,Tim Drevno,Pep Hamilton,Josh Gattis
Michigan State,Jim Bollman/Dave Warner,Jim Bollman/Dave Warner,Brad Salem
Middle Tennessee,Tony Franklin,Tony Franklin,Tony Franklin
Minnesota,Kirk Ciarrocca,Kirk Ciarrocca,Kirk Ciarrocca
Mississippi State,Billy Gonzales/John Hevesy,Luke Getsy,Joe Moorhead
Missouri,Josh Heupel,Derek Dooley,Derek Dooley
Navy,Ivan Jasper,Ivin Jasper,Ivin Jasper
NC State,Eliah Drinkwitz,Eliah Drinkwitz,Desmond Kitchings/George McDonald
Nebraska,Danny Langsdorf,Troy Walters,Troy Walters
Nevada,Matt Mumme,Matt Mumme,Matt Mumme
New Mexico,Bob DeBesse,Calvin Magee,Calvin Magee
New Mexico State,Doug Martin,Doug Martin,Doug Martin
North Carolina,Chris Kapilovic,Chris Kapilovic,Phil Longo
Northern Illinois,Mike Uremovich,Mike Uremovich,Eric Eisdness
North Texas,Graham Harrell,Graham Harrell,Bodie Reeder
